,undergrad,grad,source,target,job,counts
0,Accounting,Accounting MS,0,1,,100.0
5,Accounting,MBA,0,14,,40.0
7,Accounting,Real Estate MS,0,19,,31.42857142857143
9,Accounting,Taxation MS,0,21,,88.57142857142857
11,Architecture And Environmental Design,Real Estate MS,2,19,,30.0
12,Arts And Humanities-Other,Accounting MS,3,1,,30.0
23,Banking and Finance,Accounting MS,4,1,,40.0
29,Banking and Finance,MBA,4,14,,34.285714285714285
32,Banking and Finance,Real Estate MS,4,19,,38.57142857142857
34,Banking and Finance,Taxation MS,4,21,,31.42857142857143
48,Business Administration And Management,Taxation MS,5,21,,45.714285714285715
44,Business Administration And Management,Real Estate MS,5,19,,50.0
35,Business Administration And Management,Accounting MS,5,1,,55.714285714285715
41,Business Administration And Management,MBA,5,14,,55.714285714285715
54,Communications And Journalism,MBA,6,14,,41.42857142857143
57,Communications And Journalism,Real Estate MS,6,19,,37.142857142857146
60,Communications And Journalism,Taxation MS,6,21,,30.0
71,Computer And Information Sciences,Real Estate MS,7,19,,30.0
61,Computer And Information Sciences,Accounting MS,7,1,,30.0
67,Computer And Information Sciences,MBA,7,14,,32.85714285714286
82,Economics,Real Estate MS,8,19,,31.42857142857143
84,Economics,Taxation MS,8,21,,32.85714285714286
73,Economics,Accounting MS,8,1,,40.0
79,Economics,MBA,8,14,,40.0
93,Engineering-Other,Accounting MS,9,1,,30.0
99,Engineering-Other,MBA,9,14,,35.714285714285715
102,Engineering-Other,Real Estate MS,9,19,,30.0
104,Health And Medical Sciences,Accounting MS,10,1,,34.285714285714285
110,Health And Medical Sciences,MBA,10,14,,35.714285714285715
117,History,Accounting MS,11,1,,30.0
122,History,MBA,11,14,,31.42857142857143
126,Jewish Studies,MBA,12,14,,35.714285714285715
127,Jewish Studies,Real Estate MS,12,19,,30.0
131,Jewish Studies,Taxation MS,12,21,,30.0
142,Law,Taxation MS,13,21,,30.0
132,Law,Accounting MS,13,1,,32.85714285714286
137,Law,MBA,13,14,,31.42857142857143
143,Mathematical Sciences,Accounting MS,15,1,,32.85714285714286
153,Mathematical Sciences,Taxation MS,15,21,,30.0
154,Other,Accounting MS,16,1,,30.0
159,Other,MBA,16,14,,30.0
175,Political Science,MBA,17,14,,31.42857142857143
176,Political Science,Real Estate MS,17,19,,30.0
178,Political Science,Taxation MS,17,21,,30.0
184,Psychology,MBA,18,14,,32.85714285714286
179,Psychology,Accounting MS,18,1,,30.0
193,Sociology,MBA,20,14,,30.0
0,,MBA,14,22,Financial services sales agents,71.42857142857143
1,,MBA,14,23,Financial Advisor,71.42857142857143
2,,MBA,14,24,Management Analyst,71.42857142857143
3,,MBA,14,25,Investment Banker,71.42857142857143
4,,MBA,14,26,Finance Manager,71.42857142857143
5,,MBA,14,27,Information Technology Manager,71.42857142857143
6,,MBA,14,28,Marketing Manager,71.42857142857143
7,,MBA,14,29,HR Manager,71.42857142857143
8,,MBA,14,30,Business Consultant,71.42857142857143
9,,Accounting MS,1,31,Auditor,71.42857142857143
10,,Accounting MS,1,32,Economist,71.42857142857143
11,,Accounting MS,1,33,Information and Technology Accountant,71.42857142857143
12,,Accounting MS,1,34,Financial Analyst,71.42857142857143
13,,Accounting MS,1,35,Forensic Accountant,71.42857142857143
14,,Accounting MS,1,36,Managerial Accountant,71.42857142857143
15,,Accounting MS,1,37,Corporate Controller,71.42857142857143
16,,Accounting MS,1,38,Chief Financial Officer,71.42857142857143
17,,Real Estate MS,19,39,Real Estate Broker,71.42857142857143
18,,Real Estate MS,19,40,Real Estate Asset Manager,71.42857142857143
19,,Real Estate MS,19,41,Real Estate Business Development Manager,71.42857142857143
20,,Real Estate MS,19,42,Investment Manager,71.42857142857143
21,,Real Estate MS,19,43,Real Estate Investor,71.42857142857143
22,,Real Estate MS,19,44,Property Manager,71.42857142857143
23,,Taxation MS,21,45,Federal Tax Senior Manager,71.42857142857143
24,,Taxation MS,21,46,Assistant Professor,71.42857142857143
25,,Taxation MS,21,38,Chief Financial Officer,71.42857142857143
26,,Taxation MS,21,47,Financial Manager,71.42857142857143
27,,Taxation MS,21,48,Certified Public Accountant,71.42857142857143
